title,year,doi,publication_type,authors,abstract,relevance_score,relevance_tag,relevance_reasoning,short_summary,key_contributions,project_relevance,source,link
A framework for IoT-Enabled Smart Agriculture,2025,,Preprint,"Nsengiyumva Wilberforce, Johnson Mwebaze","Unpredictable weather patterns and a lack of timely, accurate information significantly challenge farmers in Uganda, leading to poor crop management, reduced yields, and heightened vulnerability to environmental stress. This research presents a framework for IoT-enabled smart agriculture, leveraging Raspberry Pi-based technology to provide real-time monitoring of weather and environmental conditions. The framework integrates sensors for temperature, rainfall, soil moisture, and pressure, connected via an MCP3208 analog-to-digital converter. Data is displayed on an LCD for immediate feedback and transmitted to the ThingSpeak platform for centralized storage, analysis, and remote access through a mobile app or web interface. Farmers can leverage this framework to optimize irrigation schedules and improve crop productivity through actionable insights derived from real-time and forecasted data on rainfall, temperature, pressure and soil moisture. Additionally, the system incorporates predictive weather forecasting to dynamically control sensor activity, reducing energy consumption and extending sensor lifespan. Simulated using Proteus, the proposed framework demonstrates significant potential to mitigate the impacts of unpredictable weather by reducing water consumption, improving forecasting accuracy, and boosting productivity.",51,Partially Relevant,"- **Relevance Score:** 51/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses Raspberry Pi and sensors for real-time farm monitoring, but lacks TinyML, edge inference, detailed energy or performance metrics, and real-field validation.",,,,arxiv,https://arxiv.org/pdf/2501.17875v1
Smart-Edge RF Harvesting and Reconfigurable Antenna Array for Sustainable IoT Communication,,,,"A Rajganesh, G Sugathi, U Jothilakshmi",,51,Partially Relevant,"- **Relevance Score:** 51/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses TinyML for RF zone classification in smart agriculture, enabling edge inference and adaptive RF harvesting. Lacks ESP32/Raspberry Pi implementation, detailed energy metrics, benchmarks, open-source artifacts, or field-scale validation.",,,,google_scholar,https://ieeexplore.ieee.org/abstract/document/11438739/
Harnessing IoT for Smart Agriculture: A Comprehensive Exploration,2024,10.36948/ijfmr.2024.v06i02.16125,Journal Article,"Harsha Patil, Satyawan Kunjir, Reshma S. Masurekar","The integration of Internet of Things (IoT) technologies in agriculture has revolutionized traditional farming practices, leading to the emergence of smart agriculture. This research paper aims to provide a comprehensive exploration of how IoT is harnessed in the field of smart agriculture. It discusses the various applications, benefits, challenges, and future prospects of IoT in agriculture. The study will delve into the various use cases of IoT in agriculture, such as monitoring sensors, data analysis, and automation. It will also examine the potential benefits of IoT in terms of increased productivity, sustainability, and cost savings. Additionally, the research will address the challenges associated with implementing IoT solutions in agriculture, including cost, data management, connectivity, and security. The findings of this study will provide valuable insights for farmers, agribusinesses, and researchers interested in leveraging IoT for smart agriculture.",18,Low Relevance,"- **Relevance Score:** 18/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses IoT concepts to discuss smart farming benefits, but lacks edge processing, TinyML, ESP32/Raspberry Pi implementation, and quantitative evaluations.","This paper explores how IoT technologies are practically implemented in smart agriculture to enhance productivity and sustainability. It details the use of IoT sensors for remote monitoring of parameters like soil moisture, temperature, and crop growth, enabling precision farming and optimized resource use. The findings highlight benefits such as increased efficiency, real-time decision-making, improved livestock management, and environmental sustainability through data-driven approaches. The paper also discusses challenges like high cost, data management, and connectivity in implementing these solutions.",Not addressed in this paper.,"This paper is highly relevant to the ""AgroSense"" project due to its comprehensive exploration of IoT in smart agriculture, particularly focusing on aspects that align with the project's scope: * **Precision Agriculture:** The paper consistently highlights precision farming as a key application of IoT, which directly aligns with ""AgroSense's"" goal of an ""Autonomous Multi-Modular Precision Agriculture System."" It discusses using IoT sensors and data analytics to determine crop needs and optimize resource usage (Section 3.2, 4.1). * **Sensor Fusion (Ground-Based Sensors):** The paper details the use of IoT sensors deployed in the field to collect data on various parameters like soil moisture, temperature, humidity, and sunlight (Section 2.2, 3.1, 4.1). This directly supports the ""Ground-Based Sensor Fusion"" component of ""AgroSense."" * **UAV Photogrammetry:** The paper explicitly mentions the use of ""drones equipped with sensors and cameras"" for crop monitoring and aerial imaging (Section 3.5, 4.4). This directly corresponds to the ""UAV Photogrammetry"" aspect of the ""AgroSense"" project. * **Automation and Control Systems:** The paper discusses the integration of IoT with automation and robotics for tasks like planting, irrigation, and pest control, which can be remotely controlled and optimized (Section 2.2, 3.5). This aligns with the ""Autonomous Multi-Modular"" nature of ""AgroSense."" * **Data Analytics and Decision Making:** The paper emphasizes that collected data is analyzed using advanced analytics to gain insights, identify patterns, and support informed decision-making (Section 2.2, 5.3, 7.6). This is crucial for any autonomous system like ""AgroSense."" While specific hardware like ESP32, Raspberry Pi, Jetson, or TinyML are not explicitly mentioned, the paper's focus on IoT sensors, data collection, real-time monitoring, and automation provides the foundational principles and use cases that such hardware would enable within the ""AgroSense"" system.",scispace_full_text,pdf/harnessing-iot-for-smart-agriculture-a-comprehensive-27xkrfutpe.pdf
Deploying Compact Image Classifier on Edge Device for Real-Time Pearl Millet Disease Detection,,,,"J Chalmers, J Aravinth, TS Kumar, I Johnson",,94,Highly Relevant,"- **Relevance Score:** 94/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides on-device disease detection using TinyML on ESP32-CAM, fully addressing smart-agriculture and edge goals, but lacks broader IoT networking, energy metrics, open-source artifacts, field trials, or cloud comparisons.",,,,google_scholar,https://link.springer.com/chapter/10.1007/978-3-032-18480-1_9
"Overview of Edge Computing in the Agricultural Internet of Things: Key Technologies, Applications, Challenges",2020,10.1109/access.2020.3013005,Journal Article,"Xihai Zhang, Cao Zhanyuan, Wenbin Dong","The application of the Internet of Things in agricultural development usually occurs via a monitoring network that consists of a large number of sensor nodes, thus gradually transforming agriculture from a human-oriented and single-machine-centric production model to an information- and software-centric production model. Due to the large area coverage of agriculture and the variety of production objects, if all farmland perception information is gathered into the cloud server, the server will exert greater pressure on the network, which reduces the speed of response to event processing. This problem may be perfectly solved by the recent emergence of Edge computing, which can share the load of the cloud server and reduce the delay. Edge computing has prospects in agricultural applications, such as pest identification, safety traceability of agricultural products, unmanned agricultural machinery, agricultural technology promotion, and intelligent management. The application of the Agricultural Internet of Things integrates artificial intelligence, the Internet of Things, and blockchain and Virtual/Augmented Reality technologies. This paper primarily reviews the application of Edge computing in the Agricultural Internet of Things and investigates the combination of Edge computing and Artificial Intelligence, blockchain and Virtual/Augmented reality technology. The challenges of Edge computing task allocation, data processing, privacy protection and security, and service stability in agriculture are reviewed. The future development direction of Edge computing in the Agricultural Internet of Things is predicted.",35,Low Relevance,"- **Relevance Score:** 35/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Comprehensive review of agricultural IoT and edge AI, but lacks concrete TinyML implementation, hardware details, benchmarks, or field validation.","This paper reviews the application of Edge computing in the Agricultural Internet of Things (Agricultural IoT). It investigates the combination of Edge computing with Artificial Intelligence, blockchain, and Virtual/Augmented Reality technologies for agricultural use. The paper highlights practical implementations such as pest identification, agricultural product safety traceability, unmanned agricultural machinery, and intelligent management. It also discusses challenges like data processing, task allocation, privacy, security, and service stability in agricultural Edge computing.","This paper primarily reviews the application of Edge computing in the Agricultural Internet of Things, investigates the combination of Edge computing with Artificial Intelligence, blockchain, and Virtual/Augmented Reality technology, and predicts future development directions.","This paper is relevant to the ""AgroSense"" project because it provides an overview of Edge Computing in the Agricultural Internet of Things (IoT), which aligns with the project's focus on an Autonomous Multi-Modular Precision Agriculture System using UAV Photogrammetry and Ground-Based Sensor Fusion. Key areas of relevance include: * **Agricultural IoT and Smart Agriculture:** The paper broadly discusses the application of IoT in agriculture, transforming it into an information- and software-centric production model, which is the core of ""AgroSense."" * **Edge Computing for Real-time Processing:** It highlights that Edge computing solves problems like network delay and server load caused by the vast amount of data generated in agriculture, enabling intelligent services nearby and shortening response times. This is crucial for autonomous systems and sensor fusion. * **Artificial Intelligence (AI) in Agriculture:** The paper details AI applications such as pest identification, crop classification, and unmanned agricultural machinery, which are likely components of a precision agriculture system. Edge intelligence is discussed as pushing computing tasks to the edge to release the potential of edge big data. * **Data Processing Challenges:** It addresses challenges in data processing for agricultural IoT, including storage plans, data retention, and the need for efficient data transfer and aggregation, which are relevant for managing data from UAV photogrammetry and ground-based sensors. * **VR/AR in Agriculture:** The paper mentions the use of drones and AR technology to accurately control fertilization rates in agriculture, and the use of AR to help farmers identify insects, which could be part of an advanced ""AgroSense"" system. However, specific hardware like ESP32, Raspberry Pi, Jetson, or TinyML are not addressed in this paper.",scispace_full_text,/pdf/overview-of-edge-computing-in-the-agricultural-internet-of-153cd1sjrf.pdf
Evaluating Sensor Data Quality in Internet ofThings Smart Agriculture Applications,2021,10.1109/mm.2021.3137401,Preprint,"Kaneez Fizza, Prem Prakash Jayaraman, Abhik Banerjee, Dimitrios Georgakopoulos, Rajiv Ranjan","The unprecedented growth of Internet of Things (IoT) and its applications in areas such as Smart Agriculture compels the need to devise newer ways for evaluating the quality of such applications. While existing models for application quality focus on the quality experienced by the end-user (captured using likert scale), IoT applications have minimal human involvement and rely on machine to machine communication and analytics to drive decision via actuations. In this paper, we first present a conceptual framework for the evaluation of IoT application quality. Subsequently, we propose, develop and validate via empirical evaluations a novel model for evaluating sensor data quality that is a key component in assessing IoT application quality. We present an implementation of the sensor data quality model and demonstrate how the IoT sensor data quality can be integrated with a Smart Agriculture application. Results of experimental evaluations conducted using data from a real-world testbed concludes the paper.",26,Low Relevance,"- **Relevance Score:** 26/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Focuses on sensor data quality for smart agriculture IoT, includes real-world testbed, but lacks edge, TinyML, ESP32/Raspberry Pi, and performance or energy analyses.",,,,arxiv,https://arxiv.org/pdf/2105.02819v1
Edge AI for Real-Time and Intelligent Agriculture,2023,10.4018/978-1-6684-6413-7.ch014,Journal Article,,"Advancements of the last decade in edge computing, edge IoT, and edge artificial intelligence now allow for autonomous, efficient, and intelligent systems to be proposed for various industrial applications. Intelligence agricultural solutions allow farmers to achieve more with less while improving quality and providing a rapid go-to-market approach for produce. Using AI is an effective technique to detect any crop health concerns or nutrient inadequacies in the field. Plant diseases affect the food system, economy, and environment. This chapter covers intelligent agriculture &amp; challenges in front of technology. It focuses AI application using machine learning, artificial neural network (ANN), and deep learning. The various AI applications in agriculture for land monitoring, crop and varietal selection, smart irrigation or automation of irrigation, monitoring of crop health, crop disease detection, predictive analytics, weed control, precision agriculture, harvesting, yield estimation and phenotyping, supply chain management, and food quality.",18,Low Relevance,"- **Relevance Score:** 18/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Covers many smart-agriculture use cases; mentions edge AI generally but lacks concrete edge, IoT, TinyML, hardware, or performance details.","Edge AI, edge IoT, and edge computing enable autonomous and intelligent agricultural systems. AI applications, including machine learning, ANNs, and deep learning, are used to detect crop health issues and nutrient deficiencies. The paper focuses on practical AI applications in agriculture such as land monitoring, smart irrigation, crop disease detection, and predictive analytics. These technologies also support precision agriculture, harvesting, yield estimation, and supply chain management to improve food quality.",Not available in metadata.,Not available in metadata.,scispace,
Cloud-Integrated Precision Agriculture with LoRaWAN and ESP32,2024,10.1109/icosec61587.2024.10722074,Journal Article,"Aaksha Prasad Jaywant, Avani Desai","Over the past decade, more than 14 billion IoT devices have been connected, with this number projected to exceed 25 billion by 2030. The agricultural sector is crucial to societal progress and forms the backbone of any economy globally. However, agricultural practices remain traditional, having been followed for centuries with minimal advancements. Additionally, numerous climatic and topographical factors influence growth, leading to economic uncertainty. The study here aims to present implementation procedures for establishing a LoRa wireless technology-based smart farm system, which can streamline farming processes and provide consistent output for crop growth. Another significant challenge humanity faces today is the excessive reliance on conventional resources for energy consumption. This research explores the utilization of clean solar energy to achieve complete sustainability, thereby eliminating the dependence on external energy sources and reducing long-term overhead costs for farmers. The high-level system design of the project elucidates primary subsystems involved in a smart farm. The research also covers the criteria for selecting hardware and wireless networks, along with an explanation of the algorithm implemented in our smart farm system prototype. Finally, the conclusion outlines future enhancements aimed at improving overall efficiency and addressing corner cases in the smart farm's functionality.",68,Partially Relevant,"- **Relevance Score:** 68/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Implements ESP32-based LoRa IoT farm system, covering smart agriculture use-cases and solar power; lacks TinyML, detailed edge processing metrics, benchmarks, or open-source artifacts.","This study presents implementation procedures for a LoRa wireless technology-based smart farm system. It integrates cloud technology, ESP32, and utilizes clean solar energy for complete sustainability, reducing long-term overhead costs. The system aims to streamline farming processes and provide consistent output for crop growth, enhancing precision agriculture. The research covers hardware and wireless network selection criteria and the implemented algorithm.","* Presents implementation procedures for a LoRa wireless technology-based smart farm system. * Explores the utilization of clean solar energy for complete sustainability in agriculture. * Details high-level system design, hardware/wireless network selection criteria, and the algorithm for the smart farm prototype.","This paper is relevant to the ""AgroSense"" project because it focuses on cloud-integrated precision agriculture and aims to streamline farming processes for consistent crop growth. The study specifically details implementation procedures for a LoRa wireless technology-based smart farm system. It also explores the utilization of clean solar energy for sustainability, reducing long-term overhead costs. The paper explicitly mentions the use of ESP32 as a hardware component in its system design.",scispace,https://ieeexplore.ieee.org/abstract/document/10722074/
Integration of Artificial Intelligence (AI) and Internet of Things (IoT) in Smart Agriculture,2025,10.56741/bst.v4i02.941,Journal Article,"Z. Bara, Shahroz Riasat, Muhammad Ahsan Khan","The integration of Artificial Intelligence (AI) and the Internet of Things (IoT) is revolutionizing modern agriculture by enabling precision, automation, and data-driven decision-making across various farming domains. This paper explores key applications of AI-IoT systems, including precision resource management, smart irrigation, crop health monitoring, and livestock management. Precision farming techniques supported by AI-IoT models achieve high accuracy (98.65%) and efficiency, significantly improving input optimization through variable rate application and real-time insights. Smart irrigation systems, such as ""Vital,"" demonstrate the effective use of explainable AI and low-cost sensors to automate water usage based on soil and weather data. Additionally, AI-IoT integration enhances crop protection through early disease detection and improves animal welfare via continuous livestock monitoring. The environmental benefits are notable, with reduced resource waste and lower greenhouse gas emissions, while economic advantages include increased productivity and supply chain efficiency. Despite the potential, challenges remain in infrastructure, cost, and user training. Emerging innovations such as edge computing, digital twins, and cloud-based management systems are shaping the future of smart agriculture, promising more autonomous, sustainable, and accessible solutions for global food security.",32,Low Relevance,"- **Relevance Score:** 32/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Covers broad smart-agriculture AI-IoT applications and mentions edge computing, but lacks TinyML, ESP32/Raspberry Pi details, performance or energy metrics, and open-source or cloud-vs-edge analysis.","* AI-IoT systems are revolutionizing agriculture through precision resource management, smart irrigation, crop health monitoring, and livestock management. * Precision farming techniques achieve high accuracy (98.65%) and efficiency, optimizing input through variable rate application and real-time insights. * Smart irrigation systems, like ""Vital,"" use explainable AI and low-cost sensors for automated water usage based on soil and weather data. * The integration enhances crop protection via early disease detection and improves animal welfare through continuous livestock monitoring. * These applications lead to reduced resource waste, lower greenhouse gas emissions, increased productivity, and improved supply chain efficiency.",Not available in metadata.,Not available in metadata.,scispace,
Towards making the fields talks: A real-time cloud enabled IoT crop management platform for smart agriculture,2023,10.3389/fpls.2022.1030168,Journal Article,"Navod Neranjan Thilakarathne, Muhammad S. Abu Bakar, Pg Emeroylariffion Abas, Hayati Yassin","Agriculture is the primary and oldest industry in the world and has been transformed over the centuries from the prehistoric era to the technology-driven 21st century, where people are always solving complex problems with the aid of technology. With the power of Information and Communication Technologies (ICTs), the world has become a global village, where every digital object that prevails in the world is connected to each other with the Internet of Things (IoT). The fast proliferation of IoT-based technology has revolutionized practically every sector, including agriculture, shifting the industry from statistical to quantitative techniques. Such profound transformations are reshaping traditional agricultural practices and generating new possibilities in the face of various challenges. With the opportunities created, farmers are now able to monitor the condition of crops in real time. With the automated IoT solutions, farmers can automate tasks in the farmland, as these solutions are capable of making precise decisions based on underlying challenges and executing actions to overcome such difficulties, alerting farmers in real-time, eventually leading to increased productivity and higher harvest. In this context, we present a cloud-enabled low-cost sensorized IoT platform for real-time monitoring and automating tasks dealing with a tomato plantation in an indoor environment, highlighting the necessity of smart agriculture. We anticipate that the findings of this study will serve as vital guides in developing and promoting smart agriculture solutions aimed at improving productivity and quality while also enabling the transition to a sustainable environment.",27,Low Relevance,"- **Relevance Score:** 27/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses cloud-enabled IoT platform for continuous farm monitoring, fitting smart agriculture and IoT deployment. No edge, TinyML, ESP32/Raspberry Pi, or energy/performance data. Mentions real-world urban farming context and contrasts cloud vs. edge, but lacks detailed field trials or open resources.","This paper presents a cloud-enabled, low-cost sensorized IoT platform designed for real-time monitoring and automation in smart agriculture, specifically for indoor tomato plantations. The methodology involved deploying IoT sensing devices, Arduino Uno and NodeMCU microcontrollers, and an open-source cloud platform (Thinger.io) to collect and visualize environmental and soil data. The platform automates irrigation and lighting conditions based on sensor readings. Findings indicate the system's reliability and operability in monitoring plant growth, environmental conditions, and soil parameters, demonstrating its potential for urban farming and improving productivity in indoor environments.","The main contribution of this study is outlined as follows: * Proposing a cloud-enabled real-time monitoring platform for environmental and soil conditions of indoor tomato plantations, along with automating irrigation and lighting. * Designing and implementing the platform using low-cost IoT sensors and actuators with open-source technologies. * Providing perspectives on extending the platform for indoor plant condition monitoring and urban farming where resources are limited. * Offering a comparative analysis of similar research to differentiate this work.","This paper is relevant to the ""AgroSense"" project, which involves an Autonomous Multi-Modular Precision Agriculture System using UAV Photogrammetry and Ground-Based Sensor Fusion, for the following reasons: * **Ground-Based Sensor Fusion:** The paper presents a cloud-enabled low-cost sensorized IoT platform for real-time monitoring and automating tasks in an indoor environment, focusing on a tomato plantation. This directly relates to the ""Ground-Based Sensor Fusion"" aspect of AgroSense, as it details the integration and use of multiple ground-based sensors (e.g., DHT-11 temperature/humidity, H-101 analog pH, capacitive soil moisture, DS18B20 temperature, MQ135 CO2, LDR, ultrasonic). * **Autonomous Multi-Modular Precision Agriculture System:** The platform aims to automate tasks like irrigation and lighting conditions based on sensor data, leading to increased productivity and higher harvest. This aligns with the ""Autonomous Multi-Modular Precision Agriculture System"" goal of AgroSense. * **Specific Hardware:** * **NodeMCU (ESP8266-based):** The paper extensively uses NodeMCU microcontrollers, which are ESP8266-based, for streaming data to the cloud and retrieving other sensing data. This is directly relevant to the mention of ESP32 in AgroSense, as both are Wi-Fi enabled microcontrollers for IoT applications. * **Arduino UNO:** An Arduino UNO microcontroller is also integrated to gather data from analog sensors, demonstrating a multi-microcontroller approach. * **Raspberry Pi:** The paper mentions that the system can be further upgraded by using a Raspberry Pi Model as an edge gateway to perform real-time analytics with AI, which directly addresses the ""Raspberry Pi"" hardware mentioned in AgroSense. * **IoT and Cloud Integration:** The platform leverages IoT for data collection and Thinger.io as an open-source cloud platform for data visualization, analytics, and actuator control, which are core components of a precision agriculture system. * **Real-time Monitoring and Control:** The system is designed for real-time monitoring of environmental and soil conditions and managing irrigation and lighting, which are critical for precision agriculture.",scispace_full_text,/pdf/towards-making-the-fields-talks-a-real-time-cloud-enabled-3fjbnrn2.pdf
"Reliable and Cost-Efficient IoT Connectivity for Smart Agriculture: A Comparative Study of LPWAN, 5G, and Hybrid Connectivity Models",2025,,Preprint,"Mohamed Shabeer Mohamed Rafi, Mehran Behjati, Ahmad Sahban Rafsanjani","The integration of the Internet of Things (IoT) in smart agriculture has transformed farming practices by enabling real time monitoring, data-driven decision making, and automation. However, ensuring reliable connectivity in diverse agricultural environments remains a critical challenge. This paper analyzes the performance trade offs between Low Power Wide Area Networks (LPWAN), specifically LoRaWAN, NBIoT, and Sigfox and cellular networks (4G and 5G) in agricultural applications. Beyond a comprehensive literature review, this study evaluates hybrid LPWAN and 5G architectures that integrate the strengths of both network types to enhance cost-efficiency and connectivity reliability. Using real-world case studies, the findings demonstrate that hybrid LPWAN and 5G models can reduce connectivity costs by up to 30% while significantly improving network reliability in remote agricultural settings. This work provides actionable recommendations for selecting optimal IoT connectivity solutions based on agricultural requirements and proposes future research directions to further optimize IoT infrastructure in smart farming.",22,Low Relevance,"- **Relevance Score:** 22/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses real-world farm case studies to compare LPWAN, 5G, and hybrid connectivity for smart agriculture. Does not address edge processing, TinyML, or ESP32/Raspberry Pi hardware. No energy, performance, or open-source details provided.",,,,arxiv,https://arxiv.org/pdf/2503.11162v1
Farm-LightSeek: An Edge-centric Multimodal Agricultural IoT Data Analytics Framework with Lightweight LLMs,2025,10.1109/miot.2025.3575887,Journal Article,"Dawen Jiang, Zhishu Shen, Qiushi Zheng, Tiehua Zhang, Wei Xiang, Jiong Jin",,49,Partially Relevant,"- **Relevance Score:** 49/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses edge-centric LLMs for pest detection and irrigation, fits smart-agri and IoT contexts, but lacks TinyML microcontroller work, ESP32/Raspberry Pi details, and energy or open-source evaluations.","Farm-LightSeek is an edge-centric multimodal agricultural IoT data analytics framework that integrates lightweight Large Language Models (LLMs) with edge computing for smart agriculture. It collects real-time farmland multi-source data via sensors, performs cross-modal reasoning and disease detection at edge nodes, and enables low-latency management decisions. The framework utilizes a lightweight Multimodal LLM (MLLM) deployed on edge nodes, achieved through a three-stage knowledge distillation process, to generate precise management recommendations. Experiments on real-world agricultural datasets demonstrate reliable performance in mission-critical tasks, such as pest classification and visual question answering, even with limited edge computing resources, highlighting its potential for real-time agricultural solutions.","The primary innovation of this paper is the proposal of Farm-LightSeek, an edge-centric multimodal agricultural IoT data analytics framework that integrates Lightweight LLMs (Large Language Models) with edge computing. This framework features: * An agricultural ""perception-decision-action"" closed-loop architecture. * Cross-modal adaptive monitoring. * A lightweight LLM deployment strategy balancing performance and efficiency.","This paper is highly relevant to the ""AgroSense"" project due to its focus on an edge-centric multimodal agricultural IoT data analytics framework, Farm-LightSeek, which integrates lightweight Large Language Models (LLMs) with edge computing. Key areas of relevance include: * **Multimodal Data Fusion:** Farm-LightSeek collects real-time farmland multi-source data, including images (relevant to UAV photogrammetry), weather, and geographic information via sensors. This directly aligns with ""AgroSense's"" use of UAV photogrammetry and ground-based sensor fusion. * **Edge Computing for Autonomous Systems:** The framework is designed for edge nodes, enabling real-time decision-making and pest/disease detection locally, which is crucial for an ""Autonomous Multi-Modular Precision Agriculture System."" * **Lightweight LLMs for Resource-Constrained Devices:** The paper addresses the challenge of deploying LLMs on resource-constrained devices by developing a lightweight Multimodal LLM (MLLM) using knowledge distillation. This is vital for ""AgroSense"" if it aims to integrate AI capabilities on edge hardware. * **Specific Hardware Mentioned:** The paper explicitly mentions potential edge nodes for data processing, including the **NVIDIA Jetson NANO 4GB Developer Kit** for drones, which is a specific hardware platform relevant to UAVs and advanced edge processing. While ESP32 and Raspberry Pi are not directly named, the concept of lightweight MLLMs and edge deployment would be applicable to such embedded systems or TinyML approaches. * **Real-time Anomaly Detection and Recommendations:** Farm-LightSeek delivers superior anomaly detection capabilities and provides comprehensive feedback, including precise sensor anomaly localization, high-resolution anomaly images, detailed anomaly information, and actionable recommended solutions, enhancing the system's usability and efficiency.",scispace_full_text,pdf/farm-lightseek-an-edge-centric-multimodal-agricultural-iot-trt2h9e5t7fh.pdf
The Revolution of Edge Computing in Smart Farming,2024,10.1007/978-3-031-51195-0_17,Book Chapter,"D. Sathya, R. Thangamani, Bharathan Balaji","Smart farming, driven by the rapid adoption of Internet of Things (IoT) devices and data-intensive applications, is poised to revolutionize the agricultural industry. Edge computing, a decentralized computing paradigm, plays a pivotal role in enabling real-time data processing and decision-making at the agricultural field's edge. This paper explores the multifaceted role of edge computing in smart farming, showcasing its ability to enhance efficiency, reduce latency, optimize resource management, and bolster sustainability. From on-field sensor data analysis to precision agriculture and autonomous machinery, edge computing transforms agriculture into a data-driven, agile, and sustainable sector, addressing the challenges of feeding a growing global population. The modern agricultural landscape is undergoing a profound transformation, where precision and data-driven decision-making have become paramount. Smart farming integrates technologies like IoT sensors, drones, and autonomous machinery to collect a vast amount of data, from soil conditions to crop health. Edge computing emerges as the linchpin of this transformation, as it enables data processing and analysis to occur at or near the data source, eliminating the need to send all data to centralized cloud servers. In this paper, we delve into the multifaceted role of edge computing in smart farming, highlighting its significance across various dimensions of agricultural operations.",37,Low Relevance,"- **Relevance Score:** 37/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses edge computing to enable real-time analytics for smart farming; discusses IoT sensor networks and precision agriculture. No TinyML, ESP32/Raspberry Pi, or quantitative evaluations are presented.",,,,scispace,
Edge Device Implementation for Smart Agriculture and Insect Pests Detection,2024,10.1109/iccta64612.2024.10974885,Journal Article,"Adel Eltoweiry, Hania Abouelezz, M. A. Salem, Mohamed A. Abd El Ghany",,31,Low Relevance,"- **Relevance Score:** 31/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses Jetson Nano for on-device pest detection, fitting smart agriculture and edge computing. Mentions sensors but lacks TinyML, ESP32/RPi, energy data, benchmarks, open code, field trials, or cloud comparison.",,,,google_scholar,https://ieeexplore.ieee.org/abstract/document/10974885/
An Ontological Knowledge Representation for Smart Agriculture,2021,,Preprint,"Bikram Pratim Bhuyan, Ravi Tomar, Maanak Gupta, Amar Ramdane-Cherif","In order to provide the agricultural industry with the infrastructure it needs to take advantage of advanced technology, such as big data, the cloud, and the internet of things (IoT); smart farming is a management concept that focuses on providing the infrastructure necessary to track, monitor, automate, and analyse operations. To represent the knowledge extracted from the primary data collected is of utmost importance. An agricultural ontology framework for smart agriculture systems is presented in this study. The knowledge graph is represented as a lattice to capture and perform reasoning on spatio-temporal agricultural data.",11,Low Relevance,"- **Relevance Score:** 11/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses an agricultural ontology to model spatio-temporal farm data, but lacks edge processing, IoT sensor deployment, TinyML models, or ESP32/Raspberry Pi implementations.",,,,arxiv,https://arxiv.org/pdf/2112.12768v1
"Edge, Fog, and Cloud Computing: An Overview on Challenges and Applications",2022,10.48550/arxiv.2211.01863,Posted Content,,"With the rapid growth of the Internet of Things (IoT) and a wide range of mobile devices, the conventional cloud computing paradigm faces significant challenges (high latency, bandwidth cost, etc.). Motivated by those constraints and concerns for the future of the IoT, modern architectures are gearing toward distributing the cloud computational resources to remote locations where most end-devices are located. Edge and fog computing are considered as the key enablers for applications where centralized cloud-based solutions are not suitable. In this paper, we review the high-level definition of edge, fog, cloud computing, and their configurations in various IoT scenarios. We further discuss their interactions and collaborations in many applications such as cloud offloading, smart cities, health care, and smart agriculture. Though there are still challenges in the development of such distributed systems, early research to tackle those limitations have also surfaced.",48,Partially Relevant,"- **Relevance Score:** 48/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Highly relevant for smart agriculture, edge computing, and IoT deployment, detailing Raspberry Pi-based sensor networks and fog layers; lacks TinyML focus and ESP32 implementation.",,,,scispace_full_text,/pdf/edge-fog-and-cloud-computing-an-overview-on-challenges-and-1po4p347.pdf
Blockchain-Enabled Precision Agricultural System Using IoT and Edge Computing,2023,10.1007/978-981-99-0769-4_35,Book Chapter,Mi Yan,"With the improvement of Internet of Things (IoT) and edge computing, the smart agricultural system is driven by data produced by the different sensors and smart computing devices in the agricultural land. A new methodological paradigm high-performance edge computing is incorporated with blockchain implemented precision agriculture system to improve the data processing operation related with resource management. Edge computing nodes collect and analyze the sensor data locally without transforming to the remote centralized cloud server, which rises data processing speed and reduce the network latency. The blockchain technology is incorporated with machine learning algorithm to maintain secured and protected distributed database for storing smart farm details like pH, soil moisture, temperature, crop management, humidity, and water irrigation level. The proposed system improves the productivity of food items and performance of the smart agricultural system by providing useful information to the farmers to make time-based decision about the land and increase the profit.",47,Partially Relevant,"- **Relevance Score:** 47/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Smart Agriculture Domain, Edge Computing Focus, IoT Implementation in Agriculture are perfectly relevant: uses edge nodes for sensor data and blockchain-secured ML. Other criteria not addressed.",,,,scispace,
